,GeneSymbol,T1.FPKM,T2.FPKM,TO1.FPKM,TO2.FPKM,Control_Avg_FPKM,Resistant_Avg_FPKM,p_value,log2FoldChange
0,ENSG00000105835,61.18,49.11,3906.8223542648316,3711.48123655159,55.144999999999996,3809.151795408211,0.01615961582720219,6.084547116256144
1,ENSG00000173614,2.74,2.46,14.763157793312283,14.024999903646668,2.6,14.394078848479475,0.008843821227526071,2.0963067302529548
2,ENSG00000096717,17.64,16.07,50.917289697236946,48.371425212375094,16.855,49.64435745480602,0.00478966330640605,1.504073406071079
3,ENSG00000170345,0.23,0.74,3.872207341705287,3.678596974620022,0.485,3.7754021581626547,0.028167175483895267,1.685159303097414
4,ENSG00000122512,3.65,5.27,0.009837726450589562,0.009345840128060083,4.46,0.009591783289324822,0.1146138674206903,-2.4351288772492525
5,ENSG00000136244,557.58,438.01,265.22499445397017,251.96374473127165,497.795,258.5943695926209,0.15218840265304437,-0.9421879107348441
6,ENSG00000108342,4.74,5.1,3.0203084976941095,2.8692930728094037,4.92,2.944800785251757,0.031405381853815605,-0.5856447307197571
7,ENSG00000278540,0.24,0.52,33.40894827319324,31.738500859533577,0.38,32.57372456636341,0.01381239830609523,4.604592421974964
8,ENSG00000123983,3.81,3.89,474.90008684856605,451.1550825061377,3.85,463.0275846773519,0.016455583043273634,6.580082013117307
9,ENSG00000172935,2.63,2.62,0.13700661178121687,0.13015628119215603,2.625,0.13358144648668646,2.06032464586573e-05,-1.6770929443919405
12,ENSG00000049249,2.58,2.5,0.2308181371245994,0.2192772302683694,2.54,0.2250476836964844,0.00947157656765687,-1.5309114545958689
17,ENSG00000154839,16.55,14.15,2.5494159057976824,2.421945110507798,15.350000000000001,2.48568050815274,0.0585708406918171,-2.2297783901852806
18,ENSG00000108788,3.29,3.26,0.5592227301088308,0.5312615936033892,3.275,0.5452421618561101,5.8820366434901976e-05,-1.4680914729160472
20,ENSG00000093183,9.73,9.78,1.7485291805492995,1.6611027215218344,9.754999999999999,1.704815951035567,0.00024579874681779134,-1.991405190314149
21,ENSG00000189241,22.3,21.78,4.293196833929354,4.078536992232887,22.04,4.185866913081121,0.0027959193503537295,-2.1514836294450626
22,ENSG00000115648,4.94,3.65,0.8661315889647581,0.8228250095165202,4.295,0.8444782992406391,0.11731005010501727,-1.5214178687615045
23,ENSG00000185624,256.9,266.73,58.58274723625177,55.65360987443918,261.815,57.11817855534547,0.008702028020770556,-2.1769862247080956
25,ENSG00000147082,6.25,4.25,1.216146831231112,1.1553394896695564,5.25,1.1857431604503341,0.15330132579244038,-1.5157323051941363
27,ENSG00000139289,13.27,12.8,3.040521261170571,2.8884951981120426,13.035,2.964508229641307,0.007643740356332017,-1.8238152382457926
29,ENSG00000116212,19.87,18.88,4.678754093229722,4.444816388568237,19.375,4.561785240898979,0.015399379277455019,-1.8731801157442076
30,ENSG00000168679,7.01,5.42,1.5430174647852948,1.4658665915460298,6.215,1.5044420281656623,0.10576045616996911,-1.5265101776688264
34,ENSG00000130158,1.39,1.52,0.3952998062438537,0.37553481593166105,1.455,0.38541731108775734,0.034685866375319035,-0.825402418696191
35,ENSG00000060982,32.06,28.48,8.223866072165947,7.81267276855765,30.270000000000003,8.018269420361799,0.04838712894210896,-1.7938567030866415
36,ENSG00000180398,66.89,62.15,18.021841537104905,17.12074946024966,64.52,17.57129549867728,0.02679262375774004,-1.8188608985000747
39,ENSG00000067082,3.66,5.97,1.3731943229766148,1.3045346068277839,4.8149999999999995,1.3388644649021995,0.2039506146169774,-1.3139709304694256
41,ENSG00000108465,19.4,18.78,5.520294357687985,5.244279639803585,19.09,5.382286998745785,0.004322334419376475,-1.6543321737575742
43,ENSG00000115641,35.31,30.35,9.760417396384833,9.27239652656559,32.83,9.516406961475212,0.06515956451660031,-1.6856612999052756
44,ENSG00000169429,1615.74,1356.06,451.0430446806501,428.4908924466176,1485.9,439.76696856363384,0.07668014029027853,-1.7542196072852174
45,ENSG00000164627,5.24,5.15,1.5989488068317101,1.5190013664901245,5.195,1.5589750866609173,0.00030111398453266757,-1.2755381805241595
47,ENSG00000164442,63.76,59.15,19.046559174937606,18.094231216190725,61.455,18.570395195564167,0.027771291250581875,-1.6741441858398114
48,ENSG00000117625,1.65,1.58,0.5146038532801521,0.4888736606161445,1.615,0.5017387569481483,0.009309967008565258,-0.8001770835772823
50,ENSG00000122515,11.73,11.79,3.7472082443186308,3.559847832102699,11.76,3.653528038210665,0.003324120871733634,-1.455231524261097
52,ENSG00000170142,18.33,10.77,4.733630999170033,4.496949449211532,14.549999999999999,4.615290224190782,0.23116589548317495,-1.4694820855327162
54,ENSG00000120708,928.82,918.33,306.7852501885464,291.44598767911907,923.575,299.1156189338327,0.0005104330912196468,-1.6232719502718127
55,ENSG00000106052,81.53,83.12,27.34601491137383,25.978714165805133,82.325,26.66236453858948,0.00041036868304839707,-1.5908249311075626
56,ENSG00000213920,7.6,7.59,2.5403899446501303,2.4133704474176234,7.595,2.4768801960338767,0.007522775184425563,-1.3057042831829728
58,ENSG00000014138,6.52,6.43,2.1960032550559188,2.086203092303123,6.475,2.1411031736795207,0.00034693082608457364,-1.2508022483198427
59,ENSG00000144381,0.84,2.8,0.62154831682325,0.5904709009820874,1.8199999999999998,0.6060096089026688,0.4323207224662242,-0.8122146379663773
60,ENSG00000163584,8.71,7.56,2.7975081726417037,2.6576327640096182,8.135,2.727570468325661,0.06395821736823909,-1.2931691024760377
63,ENSG00000142156,309.86,304.53,106.37467576408388,101.05594197587966,307.195,103.71530886998177,0.00034217976925690196,-1.5573710837856738
64,ENSG00000071626,21.08,20.46,7.29258001726955,6.927951016406072,20.77,7.110265516837812,0.002222229735935031,-1.424520355720041
65,ENSG00000100003,2.5,2.78,0.9269336179870781,0.8805869370877241,2.6399999999999997,0.9037602775374011,0.04577826489951073,-0.9350866252348613
68,ENSG00000122257,7.73,7.46,2.722722527170052,2.5865864008115493,7.595000000000001,2.6546544639908007,0.004317786395622087,-1.2337626293264778
73,ENSG00000152242,1.64,2.56,0.7793748745802508,0.7404061308512383,2.1,0.7598905027157445,0.20995646994631298,-0.816782545786502
74,ENSG00000047936,1.3,1.34,0.48989277830758626,0.4653981393922069,1.32,0.4776454588498966,0.0021542019493276474,-0.6508246496152528
75,ENSG00000185567,10.71,8.36,3.538733061486996,3.3617964084126464,9.535,3.450264734949821,0.1197613368906339,-1.2432272481458035
76,ENSG00000138095,1.58,1.7,0.612888191940325,0.5822437823433086,1.6400000000000001,0.5975659871418169,0.026980993151403766,-0.7246624069522164
77,ENSG00000181852,3.65,1.52,0.9727657105144023,0.9241274249886821,2.585,0.9484465677515421,0.36716334176375703,-0.8796487499025675
78,ENSG00000183054,1.08,2.54,0.6811241532035079,0.6470679455433326,1.81,0.6640960493734203,0.36098782521926975,-0.7558314241573394
80,ENSG00000125637,1.85,1.92,0.7192496522226636,0.6832871696115305,1.885,0.701268410917097,0.004654853183618861,-0.7619605443890576
81,ENSG00000165525,2.24,2.0,0.8202094465774666,0.7791989742485933,2.12,0.79970421041303,0.051550711091598776,-0.7937862165526849
83,ENSG00000133216,1.5,1.46,0.5886969979786398,0.5592621480797078,1.48,0.5739795730291738,0.0012162672807534756,-0.6559233028167761
85,ENSG00000174099,2.23,2.33,0.9324083467558707,0.885787929418077,2.2800000000000002,0.9090981380869738,0.007691501024846135,-0.7808045477786911
89,ENSG00000181744,2.84,2.32,1.0698222141006297,1.0163311033955982,2.58,1.043076658748114,0.10368604595182922,-0.8092162507111547
91,ENSG00000172340,13.62,11.83,5.313246887363,5.0475845429948505,12.725,5.180415715178926,0.06981439845293587,-1.151030362289802
95,ENSG00000137752,7.92,6.1,2.9884852956466887,2.8390610308643542,7.01,2.9137731632555215,0.13712553367145433,-1.0332421008056563
97,ENSG00000131480,1.81,1.79,0.7780835081770787,0.7391793327682247,1.8,0.7586314204726516,0.0023416194369334934,-0.6709736772626326
99,ENSG00000120742,28.09,25.58,11.761857265757902,11.173764402470006,26.835,11.467810834113955,0.041622176585476636,-1.1586919120238837
100,ENSG00000118058,6.51,5.03,2.529007505996761,2.402557130696923,5.77,2.465782318346842,0.13804796121088003,-0.9659747904111894
103,ENSG00000171497,23.55,22.79,10.22611421202724,9.714808501425876,23.17,9.970461356726558,0.0023822247105004255,-1.139593274339087
104,ENSG00000173559,2.47,1.72,0.9246313886144611,0.878399819183738,2.095,0.9015156038990996,0.19264656171106853,-0.7027896316198746
106,ENSG00000140105,19.28,19.23,8.557332912931155,8.129466267284597,19.255000000000003,8.343399590107875,0.011350259708340058,-1.1162586107670578
108,ENSG00000101230,2.59,2.59,1.1510512721107082,1.0934987085051728,2.59,1.1222749903079405,0.01247999663736897,-0.7583722408353226
109,ENSG00000105825,68.71,59.43,28.474075291171072,27.05037152661252,64.07,27.762223408891796,0.07503531353058379,-1.1778173488513415
110,ENSG00000179630,1.78,1.91,0.8256606279310547,0.7843775965345019,1.845,0.8050191122327783,0.02545113851185675,-0.6564145395316149
111,ENSG00000114354,70.04,58.7,28.8063819078168,27.36606281242596,64.37,28.08622236012138,0.09427288136903714,-1.1682927618992975
112,ENSG00000167548,4.12,4.32,1.8885028996580224,1.7940777546751212,4.220000000000001,1.841290327166572,0.009194119262947893,-0.8775035510638384
114,ENSG00000068097,6.64,6.34,2.924557751172145,2.7783298636135374,6.49,2.851443807392841,0.008438824222222363,-0.9595663421517696
116,ENSG00000124813,9.55,9.46,4.312984785644807,4.097335546362567,9.505,4.205160166003687,0.004270171575593926,-1.0130617000702462
117,ENSG00000142230,25.24,21.16,10.527222201679066,10.000861091595112,23.2,10.26404164663709,0.09501409125980416,-1.1032824743135021
118,ENSG00000183840,7.65,8.59,3.684527770587674,3.50030138205829,8.120000000000001,3.592414576322982,0.057391541307664155,-0.9897809384287654
119,ENSG00000155380,35.53,30.48,15.080503507410684,14.32647833204015,33.005,14.703490919725418,0.08152224519909848,-1.1146615828268542
120,ENSG00000175592,179.04,196.58,85.81334233379187,81.52267521710228,187.81,83.66800877544708,0.04225298418711872,-1.157046311375398
121,ENSG00000143889,1.25,0.89,0.4923003930843081,0.4676853734300927,1.07,0.4799928832572004,0.18707513797503691,-0.4840405292448553
124,ENSG00000163932,1.24,2.15,0.7798590339045814,0.7408660822093524,1.6949999999999998,0.7603625580569668,0.2879355222915555,-0.6144126811360868
125,ENSG00000166974,16.36,15.95,7.48451506991947,7.110289316423496,16.155,7.297402193171483,0.0010268732663828003,-1.0478975023555965
126,ENSG00000196437,2.91,2.11,1.1628680176724153,1.1047246167887943,2.51,1.1337963172306047,0.17844911982415798,-0.7180485610899852
127,ENSG00000176046,25.22,27.03,12.103556558442968,11.49837873052082,26.125,11.800967644481894,0.024655525297685225,-1.083370267712266
130,ENSG00000115548,12.86,11.38,5.654179928713053,5.371470932277401,12.120000000000001,5.512825430495226,0.06263965196300478,-1.0104122575893963
133,ENSG00000204394,34.68,36.85,16.801015562819565,15.960964784678586,35.765,16.380990173749076,0.01816627922139503,-1.0808227118606983
134,ENSG00000131435,14.26,14.74,6.811539931801585,6.470962935211506,14.5,6.641251433506545,0.002364255070634588,-1.020387377745671
135,ENSG00000141027,3.04,2.98,1.4139817375670876,1.343282650688733,3.01,1.3786321941279103,0.0009375841009817708,-0.7534700303778978
136,ENSG00000183666,1.43,1.52,0.7025705235574038,0.6674419973795336,1.475,0.6850062604684687,0.018397921206991467,-0.5546745735892473
137,ENSG00000157064,1.41,1.2,0.6215962937236691,0.5905164790374856,1.305,0.6060563863805773,0.08908735046866731,-0.521244205916694
138,ENSG00000144136,157.98,151.28,74.16550538563281,70.45723011635117,154.63,72.31136775099199,0.006462621147940551,-1.08601136119622
140,ENSG00000110721,10.94,8.9,4.757950031853311,4.520052530260646,9.92,4.639001281056979,0.11750072344695385,-0.953461280445246
141,ENSG00000134982,8.77,8.0,4.02171482027117,3.820629079257612,8.385,3.921171949764391,0.04206164063411688,-0.9313548187652126
143,ENSG00000164379,3.31,3.46,1.6235545219580099,1.5423767958601093,3.385,1.5829656589090595,0.006999575907864119,-0.7635483800313404
144,ENSG00000239713,10.99,11.34,5.392339556222949,5.122722578411802,11.165,5.257531067317375,0.0019305135887315737,-0.9590708665567774
145,ENSG00000031698,159.27,166.39,78.64170621941629,74.70962090844547,162.82999999999998,76.67566356393088,0.006647257404012512,-1.076664996547616
146,ENSG00000087053,3.98,3.57,1.8232048208456457,1.7320445798033635,3.775,1.7776247003245045,0.05456010399115326,-0.7816490508764751
